"producto","variedad","Procedencia","Precio Mayorista","Precio Minorista","observaciones","fecha","Mercado"
"Acelga","Comun","Churo","18   Bs.-/Amarro","20   Bs.-/Amarro","Hoja Grande","01/06/2017","Santa Cruz"
"Achojcha","Comun","Los Negros","20   Bs.-/Bolsa (2@)","4   Bs.-/3 Libras","Grande","01/06/2017","Santa Cruz"
"Aji","Amarillo en Vaina Dulce","Peru","420   Bs.-/Arroba (@)","45   Bs.-/Kilo","Vaina grande ","01/06/2017","Santa Cruz"
"Aji","Rojo en Vaina Dulce","Peru","360   Bs.-/Arroba (@)","45   Bs.-/Kilo","Vaina grande","01/06/2017","Santa Cruz"
"Aji","Rojo en Vaina Picante","Tarija","300   Bs.-/Arroba (@)","28   Bs.-/Kilo","","01/06/2017","Santa Cruz"
"Arveja","Verde (en vaina)","Churo","110   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","Vaina grande","01/06/2017","Santa Cruz"
"Azucar","Guabira","Santa Cruz","224   Bs.-/qq","6   Bs.-/Kilo","x- kilo","01/06/2017","Santa Cruz"
"Azucar","San Aurelio","Santa Cruz","200   Bs.-/qq","6   Bs.-/Kilo","Agranel","01/06/2017","Santa Cruz"
"Azucar","Unagro","Santa Cruz","220   Bs.-/qq","6   Bs.-/Kilo","x- kilo","01/06/2017","Santa Cruz"
"Brocoli","Bola verde","Los Negros","50   Bs.-/Canasta","5   Bs.-/Unidad","Chico","01/06/2017","Santa Cruz"
"Cebolla","Blanca","Cochabamba","440   Bs.-/Bolsa (8@)","60   Bs.-/Arroba (@)","Mediano","01/06/2017","Santa Cruz"
"Cebolla","Roja","Cochabamba","208   Bs.-/Bolsa (8@)","32   Bs.-/Arroba (@)","Grande","01/06/2017","Santa Cruz"
"Coliflor","Bola de nieve","San Isidro","50   Bs.-/Canasta","5   Bs.-/Unidad","Mediano","01/06/2017","Santa Cruz"
"Durazno","Criollo","Saipina","120   Bs.-/Caja de 23 Kg","5   Bs.-/Kilo","Chico","01/06/2017","Santa Cruz"
"Espinaca","Comun","Los Negros","110   Bs.-/Bolsa Grande","8   Bs.-/3 Libras","Hoja Mediana","01/06/2017","Santa Cruz"
"Frejol","Carioca","Sucre","130   Bs.-/qq","5   Bs.-/Kilo","","01/06/2017","Santa Cruz"
"Frejol","Mantecoso","Sucre","300   Bs.-/qq","8   Bs.-/Kilo","","01/06/2017","Santa Cruz"
"Frejol","Negro","Sucre","170   Bs.-/qq","6   Bs.-/Kilo","","01/06/2017","Santa Cruz"
"Frutilla","Sweet Charlie","Comarapa","12   Bs.-/Kilo","14   Bs.-/Kilo","Grande","01/06/2017","Santa Cruz"
"Haba","Comun (en vaina)","Cochabamba","60   Bs.-/Bolsa (2@)","4   Bs.-/3 Libras","Vaina Mediana","01/06/2017","Santa Cruz"
"Harina","de Maiz amarillo","Santa Cruz","80   Bs.-/qq","20   Bs.-/Arroba (@)","","01/06/2017","Santa Cruz"
"Harina","de Trigo","Del Norte","180   Bs.-/qq","45   Bs.-/Arroba (@)","","01/06/2017","Santa Cruz"
"Harina","Morada","Sucre","240   Bs.-/qq","60   Bs.-/Arroba (@)","","01/06/2017","Santa Cruz"
"Huevo","Criollo","Santa Cruz","65   Bs.-/100 U.","70   Bs.-/100 U.","","01/06/2017","Santa Cruz"
"Huevo","de Granja","Santa Cruz","60   Bs.-/100 U.","65   Bs.-/100 U.","De primera","01/06/2017","Santa Cruz"
"Lechuga","Crespa","Los Negros","100   Bs.-/Canasta","5   Bs.-/Unidad","Hoja mediana","01/06/2017","Santa Cruz"
"Lechuga","Escarola","Los Negros","120   Bs.-/Canasta","5   Bs.-/Unidad","Mediano","01/06/2017","Santa Cruz"
"Lechuga","Morada","Los Negros","140   Bs.-/Canasta","7   Bs.-/Unidad","Mediano","01/06/2017","Santa Cruz"
"Lima","Criolla","El Torno","40   Bs.-/100 U.","10   Bs.-/25 U.","Grande","01/06/2017","Santa Cruz"
"Limon","Amarillo","Santa Cruz","35   Bs.-/100 U.","9   Bs.-/25 U.","Grande","01/06/2017","Santa Cruz"
"Limon","Criollo","La Guardia","40   Bs.-/100 U.","10   Bs.-/25 U.","Mediano","01/06/2017","Santa Cruz"
"Limon","de Licuar","La Guardia","28   Bs.-/100 U.","7   Bs.-/25 U.","Grande","01/06/2017","Santa Cruz"
"Locoto","Cochabambino","Los Negros","35   Bs.-/Arroba (@)","4   Bs.-/3 Libras","Grande","01/06/2017","Santa Cruz"
"Maiz","Blanco","Cochabamba","480   Bs.-/qq","10   Bs.-/Kilo","Grande","01/06/2017","Santa Cruz"
"Maiz","Blanco pelado","Cochabamba","420   Bs.-/qq","9   Bs.-/Kilo","","01/06/2017","Santa Cruz"
"Maiz","Choclo","Cochabamba","180   Bs.-/100 U.","15   Bs.-/Docena","","01/06/2017","Santa Cruz"
"Maiz","Duro","Del Norte","82   Bs.-/qq","4   Bs.-/Kilo","","01/06/2017","Santa Cruz"
"Mandarina","Criolla","El Torno","25   Bs.-/100 U.","7   Bs.-/25 U.","Mediano","01/06/2017","Santa Cruz"
