,producto,variedad,Procedencia,Precio Mayorista,Precio Minorista,observaciones,fecha,Mercado
0,Acelga,Comun,Churo,18   Bs.-/Amarro,20   Bs.-/Amarro,Hoja Grande,06/06/2017,Santa Cruz
1,Achojcha,Comun,Los Negros,25   Bs.-/Bolsa (2@),4   Bs.-/3 Libras,Grande,06/06/2017,Santa Cruz
2,Aji,Amarillo en Vaina Dulce,Peru,420   Bs.-/Arroba (@),45   Bs.-/Kilo,Vaina grande ,06/06/2017,Santa Cruz
3,Aji,Rojo en Vaina Dulce,Peru,360   Bs.-/Arroba (@),45   Bs.-/Kilo,Vaina grande,06/06/2017,Santa Cruz
4,Aji,Rojo en Vaina Picante,Tarija,300   Bs.-/Arroba (@),28   Bs.-/Kilo,,06/06/2017,Santa Cruz
5,Arveja,Verde (en vaina),Churo,90   Bs.-/Bolsa (2@),7   Bs.-/3 Libras,Vaina grande,06/06/2017,Santa Cruz
6,Azucar,Guabira,Santa Cruz,224   Bs.-/qq,6   Bs.-/Kilo,x- kilo,06/06/2017,Santa Cruz
7,Azucar,San Aurelio,Santa Cruz,200   Bs.-/qq,6   Bs.-/Kilo,Agranel,06/06/2017,Santa Cruz
8,Azucar,Unagro,Santa Cruz,220   Bs.-/qq,6   Bs.-/Kilo,x- kilo,06/06/2017,Santa Cruz
9,Brocoli,Bola verde,Los Negros,50   Bs.-/Canasta,5   Bs.-/Unidad,Chico,06/06/2017,Santa Cruz
10,Cebolla,Blanca,Cochabamba,440   Bs.-/Bolsa (8@),60   Bs.-/Arroba (@),Mediano,06/06/2017,Santa Cruz
11,Cebolla,Roja,Cochabamba,192   Bs.-/Bolsa (8@),30   Bs.-/Arroba (@),Grande,06/06/2017,Santa Cruz
12,Coliflor,Bola de nieve,San Isidro,50   Bs.-/Canasta,5   Bs.-/Unidad,Mediano,06/06/2017,Santa Cruz
13,Durazno,Criollo,Saipina,120   Bs.-/Caja de 23 Kg,5   Bs.-/Kilo,Chico,06/06/2017,Santa Cruz
14,Espinaca,Comun,Los Negros,110   Bs.-/Bolsa Grande,8   Bs.-/3 Libras,Hoja Mediana,06/06/2017,Santa Cruz
15,Frejol,Carioca,Sucre,130   Bs.-/qq,5   Bs.-/Kilo,,06/06/2017,Santa Cruz
16,Frejol,Mantecoso,Sucre,300   Bs.-/qq,8   Bs.-/Kilo,,06/06/2017,Santa Cruz
17,Frejol,Negro,Sucre,170   Bs.-/qq,6   Bs.-/Kilo,,06/06/2017,Santa Cruz
18,Frutilla,Sweet Charlie,Comarapa,12   Bs.-/Kilo,14   Bs.-/Kilo,Grande,06/06/2017,Santa Cruz
19,Haba,Comun (en vaina),Cochabamba,60   Bs.-/Bolsa (2@),4   Bs.-/3 Libras,Vaina Mediana,06/06/2017,Santa Cruz
20,Harina,de Maiz amarillo,Santa Cruz,80   Bs.-/qq,20   Bs.-/Arroba (@),,06/06/2017,Santa Cruz
21,Harina,de Trigo,Del Norte,180   Bs.-/qq,45   Bs.-/Arroba (@),,06/06/2017,Santa Cruz
22,Harina,Morada,Sucre,240   Bs.-/qq,60   Bs.-/Arroba (@),,06/06/2017,Santa Cruz
23,Huevo,Criollo,Santa Cruz,65   Bs.-/100 U.,70   Bs.-/100 U.,,06/06/2017,Santa Cruz
24,Huevo,de Granja,Santa Cruz,60   Bs.-/100 U.,65   Bs.-/100 U.,De primera,06/06/2017,Santa Cruz
25,Lechuga,Crespa,Los Negros,70   Bs.-/Canasta,2   Bs.-/Unidad,Hoja mediana,06/06/2017,Santa Cruz
26,Lechuga,Escarola,Los Negros,100   Bs.-/Canasta,4   Bs.-/Unidad,Mediano,06/06/2017,Santa Cruz
27,Lechuga,Morada,Los Negros,100   Bs.-/Canasta,4   Bs.-/Unidad,Mediano,06/06/2017,Santa Cruz
28,Lima,Criolla,El Torno,40   Bs.-/100 U.,10   Bs.-/25 U.,Grande,06/06/2017,Santa Cruz
29,Limon,Amarillo,Santa Cruz,35   Bs.-/100 U.,9   Bs.-/25 U.,Grande,06/06/2017,Santa Cruz
30,Limon,Criollo,La Guardia,40   Bs.-/100 U.,10   Bs.-/25 U.,Mediano,06/06/2017,Santa Cruz
31,Limon,de Licuar,La Guardia,24   Bs.-/100 U.,6   Bs.-/25 U.,Grande,06/06/2017,Santa Cruz
32,Locoto,Cochabambino,Los Negros,35   Bs.-/Arroba (@),4   Bs.-/3 Libras,Grande,06/06/2017,Santa Cruz
33,Maiz,Blanco,Cochabamba,480   Bs.-/qq,10   Bs.-/Kilo,Grande,06/06/2017,Santa Cruz
34,Maiz,Blanco pelado,Cochabamba,420   Bs.-/qq,9   Bs.-/Kilo,,06/06/2017,Santa Cruz
35,Maiz,Choclo,Cochabamba,180   Bs.-/100 U.,15   Bs.-/Docena,,06/06/2017,Santa Cruz
36,Maiz,Duro,Del Norte,82   Bs.-/qq,4   Bs.-/Kilo,,06/06/2017,Santa Cruz
37,Mandarina,Criolla,El Torno,25   Bs.-/100 U.,7   Bs.-/25 U.,Mediano,06/06/2017,Santa Cruz
38,Mandarina,Japonesa,Yapacaní,20   Bs.-/100 U.,5   Bs.-/25 U.,Grande,06/06/2017,Santa Cruz
39,Mani,Overo Desgranado,Sucre,580   Bs.-/qq,12   Bs.-/Kilo,,06/06/2017,Santa Cruz
40,Mani,Overo en vaina,Sucre,650   Bs.-/qq,16   Bs.-/Kilo,,06/06/2017,Santa Cruz
41,Mani,Pelado,Sucre,180   Bs.-/Arroba (@),12   Bs.-/Kilo,Entero,06/06/2017,Santa Cruz
42,Mani,Rojo largo Desgranado,Sucre,700   Bs.-/qq,18   Bs.-/Kilo,,06/06/2017,Santa Cruz
43,Mani,Rojo largo en vaina,Sucre,880   Bs.-/qq,24   Bs.-/Kilo,,06/06/2017,Santa Cruz
44,Manzana,Criolla,Del Valle,100   Bs.-/Arroba (@),6   Bs.-/Libra,Mediano,06/06/2017,Santa Cruz
45,Manzana,Lanin royal,Argentina,220   Bs.-/Caja de 150U.,3   Bs.-/Unidad,Grande,06/06/2017,Santa Cruz
46,Naranja,Criolla,Yapacaní,35   Bs.-/100 U.,8   Bs.-/25 U.,Grande,06/06/2017,Santa Cruz
47,Oca,Amarilla,Cochabamba,30   Bs.-/Arroba (@),3   Bs.-/3 Libras,Mediano,06/06/2017,Santa Cruz
48,Papa,Desiree (Holandesa),Cochabamba,380   Bs.-/Bolsa (10@),44   Bs.-/Arroba (@),Super,06/06/2017,Santa Cruz
49,Papa,Imilla,Cochabamba,280   Bs.-/Bolsa (10@),36   Bs.-/Arroba (@),Chica,06/06/2017,Santa Cruz
50,Papa,Waycha (Arinosa),Cochabamba,340   Bs.-/Bolsa (10@),38   Bs.-/Arroba (@),Super,06/06/2017,Santa Cruz
51,Papaliza,Amarilla,Descon.,40   Bs.-/Arroba (@),5   Bs.-/3 Libras,Mediano,06/06/2017,Santa Cruz
52,Pepino,Comun,Los Negros,30   Bs.-/Arroba (@),3   Bs.-/3 Libras,Mediano,06/06/2017,Santa Cruz
53,Pimenton,4 Puntas,Los Negros,70   Bs.-/Bolsa Grande,8   Bs.-/Docena,Super,06/06/2017,Santa Cruz
54,Pollo,Criollo,Mairana,9   Bs.-/Kilo,10   Bs.-/Kilo,,06/06/2017,Santa Cruz
55,Pollo,Granja,Santa Cruz,11   Bs.-/Kilo,12   Bs.-/Kilo,,06/06/2017,Santa Cruz
56,Repollo,Hibrido,Los Negros,3   Bs.-/Unidad,5   Bs.-/Unidad,Grande,06/06/2017,Santa Cruz
57,Tomate,Manzana,Los Negros,50   Bs.-/Caja de 18 Kg,3   Bs.-/Kilo,Grande,06/06/2017,Santa Cruz
58,Tomate,Pera,Los Negros,50   Bs.-/Caja de 18 Kg,3   Bs.-/Kilo,Mediano,06/06/2017,Santa Cruz
59,Trigo,Comun,Del Norte,98   Bs.-/Arroba (@),9   Bs.-/Kilo,largo,06/06/2017,Santa Cruz
