"producto","variedad","Nom_Procedencia","Precio Mayorista","Precio Minorista","observaciones","fecha"
"Acelga","Comun","Los Negros","4   Bs.-/Amarro","6   Bs.-/Amarro","","20/06/2008"
"Acelga","Comun","Los Negros","4   Bs.-/Amarro","7   Bs.-/Amarro","","11/06/2008"
"Acelga","Comun","Los Negros","4   Bs.-/Amarro","6   Bs.-/Amarro","","10/06/2008"
"Acelga","Comun","Los Negros","5   Bs.-/Amarro","8   Bs.-/Amarro","","04/06/2008"
"Achojcha","Comun","Los Negros","60   Bs.-/Bolsa (2@)","3   Bs.-/3 Libras","","20/06/2008"
"Achojcha","Comun","Los Negros","75   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","","11/06/2008"
"Achojcha","Comun","Los Negros","75   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","","10/06/2008"
"Achojcha","Comun","Los Negros","50   Bs.-/Bolsa (2@)","3   Bs.-/3 Libras","","04/06/2008"
"Achojcha","Comun","Los Negros","66   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","","03/06/2008"
"Achojcha","Comun","Los Negros","60   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","Achojcha peque?a","02/06/2008"
"Achojcha","Comun","Los Negros","65   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","","27/05/2008"
"Achojcha","Comun","Los Negros","80   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","Achojcha grande","23/05/2008"
"Achojcha","Comun","Los Negros","90   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","","12/05/2008"
"Achojcha","Comun","Los Negros","70   Bs.-/Bolsa (2@)","15   Bs.-/3 Libras","","09/05/2008"
"Arveja","Verde (en vaina)","Cochabamba","150   Bs.-/Bolsa (2@)","9   Bs.-/3 Libras","","20/06/2008"
"Arveja","Verde (en vaina)","Comarapa","100   Bs.-/Bolsa (2@)","9   Bs.-/3 Libras","","11/06/2008"
"Arveja","Verde (en vaina)","Comarapa","110   Bs.-/Bolsa (2@)","9   Bs.-/3 Libras","","10/06/2008"
"Arveja","Verde (en vaina)","Comarapa","75   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","","04/06/2008"
"Arveja","Verde (en vaina)","Cochabamba","80   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","","03/06/2008"
"Arveja","Verde (en vaina)","Comarapa","120   Bs.-/Bolsa (2@)","9   Bs.-/3 Libras","","02/06/2008"
"Arveja","Verde (en vaina)","Comarapa","150   Bs.-/Bolsa (2@)","9   Bs.-/3 Libras","","12/05/2008"
"Arveja","Verde (en vaina)","Comarapa","160   Bs.-/Bolsa (2@)","15   Bs.-/3 Libras","","08/05/2008"
"Brocoli","Bola verde","Los Negros","90   Bs.-/Canasta","6   Bs.-/Unidad","","20/06/2008"
"Brocoli","Bola verde","Los Negros","75   Bs.-/Canasta","5   Bs.-/Unidad","","11/06/2008"
"Brocoli","Bola verde","Los Negros","70   Bs.-/Canasta","5   Bs.-/Unidad","","10/06/2008"
"Brocoli","Bola verde","Los Negros","60   Bs.-/Canasta","5   Bs.-/Unidad","","04/06/2008"
"Cebolla","Roja","Cochabamba","190   Bs.-/Bolsa (8@)","26   Bs.-/Arroba (@)","","20/06/2008"
"Cebolla","Roja","Cochabamba","200   Bs.-/Bolsa (8@)","28   Bs.-/Arroba (@)","","11/06/2008"
"Cebolla","Roja","Cochabamba","200   Bs.-/Bolsa (8@)","28   Bs.-/Arroba (@)","","10/06/2008"
"Cebolla","Roja","Cochabamba","160   Bs.-/Bolsa (8@)","22   Bs.-/Arroba (@)","","04/06/2008"
"Cebolla","Roja","Cochabamba","140   Bs.-/Bolsa (8@)","20   Bs.-/Arroba (@)","","03/06/2008"
"Cebolla","Roja","Cochabamba","200   Bs.-/Bolsa (8@)","28   Bs.-/Arroba (@)","","02/06/2008"
"Cebolla","Roja","Cochabamba","190   Bs.-/Bolsa (8@)","26   Bs.-/Arroba (@)","","28/05/2008"
"Cebolla","Roja","Cochabamba","190   Bs.-/Bolsa (8@)","26   Bs.-/Arroba (@)","","27/05/2008"
"Cebolla","Roja","Cochabamba","200   Bs.-/Bolsa (8@)","28   Bs.-/Arroba (@)","","23/05/2008"
"Cebolla","Roja","Cochabamba","220   Bs.-/Bolsa (8@)","30   Bs.-/Arroba (@)","","13/05/2008"
"Cebolla","Roja","Cochabamba","220   Bs.-/Bolsa (8@)","30   Bs.-/Arroba (@)","","12/05/2008"
"Cebolla","Roja","Cochabamba","320   Bs.-/Bolsa (8@)","35   Bs.-/Arroba (@)","","09/05/2008"
"Cebolla","Roja","Cochabamba","120   Bs.-/Bolsa (8@)","17   Bs.-/Arroba (@)","","08/05/2008"
"Cebolla","Roja","Cochabamba","220   Bs.-/Bolsa (8@)","30   Bs.-/Arroba (@)","","14/04/2008"
"Coliflor","Bola de nieve","Los Negros","40   Bs.-/Canasta","4   Bs.-/Unidad","","20/06/2008"
"Coliflor","Bola de nieve","Los Negros","70   Bs.-/Canasta","5   Bs.-/Unidad","","11/06/2008"
"Coliflor","Bola de nieve","Los Negros","70   Bs.-/Canasta","5   Bs.-/Unidad","","10/06/2008"
"Coliflor","Bola de nieve","Los Negros","80   Bs.-/Canasta","5   Bs.-/Unidad","","04/06/2008"
"Durazno","Amarillo","Tarija","180   Bs.-/Caja de 23 Kg","12   Bs.-/Kilo","","08/05/2008"
"Espinaca","Comun","Los Negros","80   Bs.-/Bolsa Grande","6   Bs.-/3 Libras","","20/06/2008"
