"producto","variedad","Procedencia","Precio Mayorista","Precio Minorista","observaciones","fecha","Mercado"
"Acelga","Comun","Tarija","5   Bs.-/Amarro","2   Bs.-/Amarro","","29/12/2010","Camiri"
"Achojcha","Comun","Los Negros","90   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","","29/12/2010","Camiri"
"Aji","Amarillo en Vaina Dulce","Monteagudo","180   Bs.-/Arroba (@)","24   Bs.-/Kilo","","29/12/2010","Camiri"
"Aji","Rojo en Vaina Dulce","Monteagudo","160   Bs.-/Arroba (@)","18   Bs.-/Kilo","","29/12/2010","Camiri"
"Aji","Rojo en Vaina Picante","Monteagudo","160   Bs.-/Arroba (@)","18   Bs.-/Kilo","","29/12/2010","Camiri"
"Arveja","Verde (en vaina)","Tarija","150   Bs.-/Bolsa (2@)","7   Bs.-/3 Libras","","29/12/2010","Camiri"
"Azucar","Bermejo","Bermejo","0   Bs.-/qq","8   Bs.-/Kilo","","29/12/2010","Camiri"
"Azucar","Guabira","Del Norte","0   Bs.-/qq","8   Bs.-/Kilo","","29/12/2010","Camiri"
"Azucar","San Aurelio","Del Norte","320   Bs.-/qq","8   Bs.-/Kilo","","29/12/2010","Camiri"
"Azucar","Unagro","Del Norte","300   Bs.-/qq","7   Bs.-/Kilo","","29/12/2010","Camiri"
"Brocoli","Bola verde","Santa Cruz","90   Bs.-/Canasta","6   Bs.-/Unidad","Grande","29/12/2010","Camiri"
"Cebolla","Roja","Saipina","100   Bs.-/Bolsa (8@)","20   Bs.-/Arroba (@)","Grande","29/12/2010","Camiri"
"Coliflor","Bola de nieve","Los Negros","90   Bs.-/Canasta","4   Bs.-/Unidad","","29/12/2010","Camiri"
"Durazno","Amarillo","Argentina","150   Bs.-/Caja de 23 Kg","10   Bs.-/Kilo","Mediana","29/12/2010","Camiri"
"Durazno","Criollo","Del Valle","170   Bs.-/Caja de 23 Kg","13   Bs.-/Kilo","Grande","29/12/2010","Camiri"
"Espinaca","Comun","Los Negros","100   Bs.-/Bolsa Grande","8   Bs.-/3 Libras","Bolsa grande de 2(@)","29/12/2010","Camiri"
"Frejol","Negro","Descon.","480   Bs.-/qq","15   Bs.-/Kilo","","29/12/2010","Camiri"
"Haba","Comun (en vaina)","Cochabamba","80   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","","29/12/2010","Camiri"
"Harina","de Maiz amarillo","Del Norte","160   Bs.-/qq","40   Bs.-/Arroba (@)","","29/12/2010","Camiri"
"Huevo","Criollo","Santa Cruz","60   Bs.-/100 U.","65   Bs.-/100 U.","","29/12/2010","Camiri"
"Huevo","de Granja","Santa Cruz","80   Bs.-/100 U.","85   Bs.-/100 U.","","29/12/2010","Camiri"
"Lechuga","Crespa","Santa Cruz","70   Bs.-/Canasta","2   Bs.-/Unidad","","29/12/2010","Camiri"
"Lechuga","Escarola","Santa Cruz","80   Bs.-/Canasta","3   Bs.-/Unidad","Grande","29/12/2010","Camiri"
"Lechuga","Morada","Santa Cruz","70   Bs.-/Canasta","2   Bs.-/Unidad","","29/12/2010","Camiri"
"Limon","Criollo","Santa Cruz","80   Bs.-/100 U.","10   Bs.-/25 U.","Chico","29/12/2010","Camiri"
"Limon","de Licuar","Santa Cruz","110   Bs.-/100 U.","15   Bs.-/25 U.","Grande","29/12/2010","Camiri"
"Locoto","Cochabambino","Los Negros","30   Bs.-/Arroba (@)","3   Bs.-/3 Libras","","29/12/2010","Camiri"
"Maiz","Blanco","Cochabamba","400   Bs.-/qq","8   Bs.-/Kilo","","29/12/2010","Camiri"
"Maiz","Blanco pelado","Cochabamba","480   Bs.-/qq","9   Bs.-/Kilo","","29/12/2010","Camiri"
"Maiz","Choclo","Cochabamba","180   Bs.-/100 U.","28   Bs.-/Docena","De primera","29/12/2010","Camiri"
"Mani","Overo Desgranado","Cruceño","480   Bs.-/qq","16   Bs.-/Kilo","","29/12/2010","Camiri"
"Mani","Pelado","Cruceño","120   Bs.-/Arroba (@)","16   Bs.-/Kilo","","29/12/2010","Camiri"
"Mani","Rojo largo Desgranado","Cruceño","400   Bs.-/qq","16   Bs.-/Kilo","","29/12/2010","Camiri"
"Manzana","Lanin royal","Chile","0   Bs.-/Caja de 150U.","3   Bs.-/Unidad","Grande","29/12/2010","Camiri"
"Manzana","Lanin royal","Chile","0   Bs.-/Caja de 150U.","3   Bs.-/Unidad","Grande","29/12/2010","Camiri"
"Oca","Amarilla","Cochabamba","40   Bs.-/Arroba (@)","5   Bs.-/3 Libras","","29/12/2010","Camiri"
"Oca","Negra","Cochabamba","25   Bs.-/Arroba (@)","5   Bs.-/3 Libras","","29/12/2010","Camiri"
"Papa","Desiree (Holandesa)","Cochabamba","350   Bs.-/Bolsa (10@)","35   Bs.-/Arroba (@)","Grande","29/12/2010","Camiri"
"Papa","Imilla","Cochabamba","450   Bs.-/Bolsa (10@)","45   Bs.-/Arroba (@)","Chico","29/12/2010","Camiri"
"Papa","Waycha (Arinosa)","Cochabamba","430   Bs.-/Bolsa (10@)","43   Bs.-/Arroba (@)","Grande","29/12/2010","Camiri"
"Papaliza","Amarilla","Cochabamba","60   Bs.-/Arroba (@)","15   Bs.-/3 Libras","","29/12/2010","Camiri"
"Pepino","Comun","Santa Cruz","20   Bs.-/Arroba (@)","3   Bs.-/3 Libras","","29/12/2010","Camiri"
"Pimenton","4 Puntas","Santa Cruz","160   Bs.-/Bolsa Grande","20   Bs.-/Docena","Grande","29/12/2010","Camiri"
"Pollo","Criollo","Mairana","23   Bs.-/Kilo","25   Bs.-/Kilo","","29/12/2010","Camiri"
"Pollo","Granja","Cruceño","17   Bs.-/Kilo","18   Bs.-/Kilo","","29/12/2010","Camiri"
"Repollo","Hibrido","Los Negros","3   Bs.-/Unidad","4   Bs.-/Unidad","","29/12/2010","Camiri"
"Tomate","Manzana","Los Negros","70   Bs.-/Caja de 18 Kg","5   Bs.-/Kilo","Mediana","29/12/2010","Camiri"
"Tomate","Pera","Los Negros","65   Bs.-/Caja de 18 Kg","5   Bs.-/Kilo","Mediana","29/12/2010","Camiri"
"Vainita","Comun","Los Negros","50   Bs.-/Arroba (@)","8   Bs.-/3 Libras","","29/12/2010","Camiri"
"Zanahoria","Chantenay","Cochabamba","350   Bs.-/Bolsa (10@)","35   Bs.-/Arroba (@)","","29/12/2010","Camiri"
"Zapallo","Quintalero","Del Valle","3   Bs.-/Kilo","4   Bs.-/Kilo","","29/12/2010","Camiri"
"Acelga","Comun","Los Negros","4   Bs.-/Amarro","5   Bs.-/Amarro","Hoja Grande","22/12/2010","Camiri"
"Achojcha","Comun","Los Negros","60   Bs.-/Bolsa (2@)","4   Bs.-/3 Libras","Grande","22/12/2010","Camiri"
"Arveja","Verde (en vaina)","Los Negros","100   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","","22/12/2010","Camiri"
"Azucar","Bermejo","Bermejo","0   Bs.-/qq","6   Bs.-/Kilo","","22/12/2010","Camiri"
"Azucar","Guabira","Del Norte","0   Bs.-/qq","6   Bs.-/Kilo","","22/12/2010","Camiri"
