"producto","variedad","Precio Mayorista","Precio Minorista","Procedencia","observaciones","fecha","Mercado"
"Acelga","Comun","0   Bs.-/Amarro","18   Bs.-/Amarro","Santa Cruz","verdesita nueva","02/09/2015","Trinidad"
"Achojcha","Comun","0   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","Santa Cruz","","02/09/2015","Trinidad"
"Aji","Amarillo en Vaina Dulce","0   Bs.-/Arroba (@)","20   Bs.-/Kilo","Santa Cruz","","02/09/2015","Trinidad"
"Aji","Amarillo en Vaina Picante","0   Bs.-/Arroba (@)","20   Bs.-/Kilo","Santa Cruz","","02/09/2015","Trinidad"
"Arveja","Verde (en vaina)","0   Bs.-/Bolsa (2@)","12   Bs.-/3 Libras","Santa Cruz","","02/09/2015","Trinidad"
"Azucar","Guabira","0   Bs.-/qq","5   Bs.-/Kilo","Santa Cruz","","02/09/2015","Trinidad"
"Azucar","Unagro","0   Bs.-/qq","4   Bs.-/Kilo","Santa Cruz","","02/09/2015","Trinidad"
"Brocoli","Bola verde","0   Bs.-/Canasta","8   Bs.-/Unidad","Santa Cruz","","02/09/2015","Trinidad"
"Cebolla","Roja","0   Bs.-/Bolsa (8@)","65   Bs.-/Arroba (@)","Santa Cruz","","02/09/2015","Trinidad"
"Coliflor","Bola de nieve","0   Bs.-/Canasta","10   Bs.-/Unidad","Santa Cruz","","02/09/2015","Trinidad"
"Durazno","Amarillo","0   Bs.-/Caja de 23 Kg","20   Bs.-/Kilo","Santa Cruz","","02/09/2015","Trinidad"
"Frejol","Carioca","0   Bs.-/qq","12   Bs.-/Kilo","Santa Cruz","","02/09/2015","Trinidad"
"Frejol","Mantecoso","0   Bs.-/qq","10   Bs.-/Kilo","Santa Cruz","","02/09/2015","Trinidad"
"Frejol","Negro","0   Bs.-/qq","10   Bs.-/Kilo","Santa Cruz","","02/09/2015","Trinidad"
"Frutilla","Sweet Charlie","0   Bs.-/Kilo","20   Bs.-/Kilo","Santa Cruz","","02/09/2015","Trinidad"
"Haba","Comun (en vaina)","0   Bs.-/Bolsa (2@)","8   Bs.-/3 Libras","Santa Cruz","","02/09/2015","Trinidad"
"Harina","de Trigo","0   Bs.-/qq","65   Bs.-/Arroba (@)","Santa Cruz","","02/09/2015","Trinidad"
"Huevo","Criollo","0   Bs.-/100 U.","100   Bs.-/100 U.","Beni","","02/09/2015","Trinidad"
"Huevo","de Granja","0   Bs.-/100 U.","60   Bs.-/100 U.","Santa Cruz","","02/09/2015","Trinidad"
